City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,hamilton,39.1834,-84.5333,297.71,50,0,0.45,US,2024-09-17
166,hede,33.7681,120.2517,302.9,81,97,6.87,CN,2024-09-17
167,dahme,51.8667,13.4333,289.1,98,44,3.5,DE,2024-09-17
168,sakrand,26.1384,68.2736,300.33,72,0,2.81,PK,2024-09-17
169,hotan,37.0997,79.9269,292.81,33,5,2.33,CN,2024-09-17
170,hovd,48.0056,91.6419,282.32,38,0,1.47,MN,2024-09-17
171,puerto natales,-51.7236,-72.4875,278.27,89,98,3.94,CL,2024-09-17
172,quellon,-43.1167,-73.6167,280.08,85,99,1.52,CL,2024-09-17
173,obo,5.3998,26.4869,294.15,95,100,0.79,CF,2024-09-17
174,kodiak,57.79,-152.4072,287.88,51,20,4.63,US,2024-09-17
175,ndelele,4.0333,14.9333,293.0,98,86,1.33,CM,2024-09-17
176,zavidovo,56.5333,36.5333,286.13,68,87,1.51,RU,2024-09-17
177,al jawf,29.5,38.75,295.02,51,0,3.5,SA,2024-09-17
178,jijona,38.5409,-0.5026,290.66,84,29,0.92,ES,2024-09-17
179,filadelfia,39.9523,-75.1638,294.15,82,100,5.66,US,2024-09-17
180,uturoa,-16.7333,-151.4333,299.11,81,99,4.17,PF,2024-09-17
181,nelson bay,-32.7167,152.15,290.43,63,0,2.68,AU,2024-09-17
182,aqadyr,48.2553,72.8483,274.64,64,14,7.19,KZ,2024-09-17
183,san jose,37.3394,-121.895,294.9,57,40,4.12,US,2024-09-17
184,pimentel,-6.8367,-79.9342,290.31,82,20,7.72,PE,2024-09-17
185,jamestown,42.097,-79.2353,292.95,55,0,1.54,US,2024-09-17
186,khorugh,37.4897,71.553,280.17,79,100,2.08,TJ,2024-09-17
187,santa terezinha,-29.9002,-50.0904,288.47,89,0,2.87,BR,2024-09-17
188,ballina,-28.8667,153.5667,291.47,58,0,4.7,AU,2024-09-17
189,salekhard,66.53,66.6019,286.96,91,100,2.5,RU,2024-09-17
190,selfoss,63.9331,-20.9971,284.29,96,100,4.51,IS,2024-09-17
